university,count,lat,lng,place_id,formatted_address
A.T. Still University,2,40.19314929999999,-92.58941430000002,ChIJf_GAq3AO6IcRl2uQjADaUr0,"800 W Jefferson St, Kirksville, MO 63501, USA"
Abilene Christian University,1,32.4700922,-99.7080103,ChIJiflo2s6RVoYRa7kIvLJ0ajs,"1600 Campus Ct, Abilene, TX 79601, USA"
Alabama A&M University,1,34.78384090000001,-86.5722237,ChIJ91htBQIXYogRtPsg4NGoNv0,"4900 Meridian St N, Huntsville, AL 35811, USA"
Alabama State University,1,32.3626319,-86.2934411,ChIJX03sJ6eBjogRdTBeMsda_SI,"915 S Jackson St, Montgomery, AL 36104, USA"
Alvernia University,1,40.3117414,-75.931795,ChIJL45OJ-9wxokRgiXuKHzepm8,"400 St Bernardine St, Reading, PA 19607, USA"
American Intercontinental University,4,33.2786939,-111.8040692,ChIJoceSxtqrK4cRzzBnHIASlGs,"2200 E Germann Rd Suite 100, Chandler, AZ 85286, USA"
American Sentinel University,5,39.6733289,-104.8700844,ChIJM3whFB2IbIcRpocOr4pXsKw,"10065 E Harvard Ave Suite 450, Denver, CO 80014, USA"
Amos Tuck School Dartmouth College,1,43.7055,-72.29416669999999,ChIJn0UVgcHJtEwRPrReEyKJkGQ,"100 Tuck Hall, Hanover, NH 03755, USA"
Argosy University,18,47.6139368,-122.3516557,ChIJ8WKlxVEVkFQRWk4AVvyTDZE,"2601 Elliott Ave, Seattle, WA 98121, USA"
Arizona State University,10,33.4229975,-111.9278306,ChIJD1QzO9sIK4cRMzA8R39xbmY,"1151 S Forest Ave, Tempe, AZ, USA"
Ashford University,1,33.301001,-111.8418139,ChIJv_pbJ5Bj4ocR3zbG3wAPr7M,"180 S Arizona Ave Suite #301, Chandler, AZ 85225, USA"
Aspen University,1,33.41204099999999,-111.981411,ChIJFdXNf6FzK4cR3xgY0UW5zgo,"4615 E Elwood St Suite 100, Phoenix, AZ 85040, USA"
Auburn University,5,32.5980549,-85.4942667,ChIJryBmEQvzjIgR9xLXUVxSkOw,"Auburn, AL 36849, USA"
Augustana College,1,41.5030042,-90.5513921,ChIJA2HcF10OCYgRe9wwwIbyKjY,"639 38th St, Rock Island, IL 61201, USA"
Baker College,1,42.9978049,-84.1766358,ChIJlwZ1UPgAI4gRdlSM3tQzqwE,"Owosso, MI 48867, USA"
Ball State University,1,40.2024944,-85.40582409999999,ChIJIR58aWY9FYgR9ImfGJvu4OQ,"2000 W University Ave, Muncie, IN 47306, USA"
Barry University,3,25.8789241,-80.19817929999999,ChIJEfyg7-2x2YgRoVV1iIOh6H0,"11300 NE 2nd Ave, Miami Shores, FL 33168, USA"
Baylor University,3,31.5500848,-97.11354,ChIJkebHSWqCT4YR3df3-lbTamM,"1311 S 5th St, Waco, TX 76706, USA"
Bellevue University,1,41.150572,-95.91815799999999,ChIJf4DKhmqIk4cR63XRQHKFjoM,"1000 Galvin Rd S, Bellevue, NE 68005, USA"
Benedictine University,1,41.7784418,-88.0952683,ChIJG3Tr6y5XDogRByHsaa54X1k,"5700 College Rd, Lisle, IL 60532, USA"
Bethel University,1,45.0582445,-93.1621869,ChIJb1zMgxAps1IRVrJzfICGzvQ,"3900 Bethel Dr, St Paul, MN 55112, USA"
Binghamton University,1,42.09712040000001,-75.9116546,ChIJ0bet33Lv2okRfzPt9wOXjwY,"Binghamton, NY, USA"
Boston College,2,42.3355488,-71.16849450000001,ChIJydQlp11444kRbuu4pZCuaAs,"140 Commonwealth Ave, Chestnut Hill, MA 02467, USA"
Boston University,1,42.3504997,-71.1053991,ChIJFzjlY_B544kRyL6j4ABuNCs,"Commonwealth Ave, Boston, MA 02215, USA"
Bowling Green State University,3,41.37969270000001,-83.63005919999999,ChIJ4Tqo5VAKPIgRAzVTIC9tuCY,"1001 E Wooster St, Bowling Green, OH 43403, USA"
Brigham Young University,5,40.2518435,-111.6493156,ChIJjbagSryQTYcRTNwP86OzPr8,"Provo, UT 84602, USA"
